bm25core,tes,ov,useful
12.81822041,0.492753623,0.333333333,no
12.76693321,0.695652174,0.555555556,no
12.76693321,0.695652174,0.555555556,no
12.76693321,0.695652174,0.555555556,no
12.71008449,0.768115942,0.555555556,no
12.54455372,0.637681159,0.444444444,no
12.50151712,0.768115942,0.611111111,no
12.37217838,0.579710145,0.5,no
12.28162322,0.376811594,0.388888889,no
12.23299029,0.710144928,0.555555556,no
12.14067795,0.47826087,0.388888889,no
11.80203866,0.68115942,0.555555556,no
11.6964486,0.608695652,0.5,no
11.65315428,0.652173913,0.444444444,no
11.60898406,0.304347826,0.055555556,no
11.57214125,0.724637681,0.555555556,no
11.50767143,0.768115942,0.555555556,no
22.59224886,0.514705882,0.533333333,yes
22.1023864,0.470588235,0.4,yes
20.36542144,0.794117647,0.6,no
19.98719261,0.632352941,0.466666667,yes
19.96534269,0.544117647,0.466666667,yes
18.58360199,0.676470588,0.466666667,yes
18.27299902,0.720588235,0.533333333,yes
18.09951839,0.897058824,0.6,yes
18.00163963,0.691176471,0.8,yes
17.93620495,0.602941176,0.466666667,no
17.7779345,0.691176471,0.466666667,no
17.67345171,0.867647059,0.666666667,yes
17.24792046,0.573529412,0.4,no
16.65913903,0.838235294,0.666666667,yes
16.58693032,0.647058824,0.4,no
16.41200165,0.632352941,0.533333333,no
16.35519194,0.823529412,0.533333333,no
16.30421909,0.705882353,0.4,yes
16.16905265,0.705882353,0.533333333,no
16.11750642,0.823529412,0.8,yes
16.0323463,0.705882353,0.533333333,no
15.9961675,0.676470588,0.466666667,yes
15.98230289,0.764705882,0.533333333,no
15.68490599,0.705882353,0.666666667,yes
15.56271463,0.720588235,0.6,no
15.12682972,0.838235294,0.533333333,yes
14.98596827,0.735294118,0.466666667,no
14.98445834,0.823529412,0.666666667,no
14.85102937,0.720588235,0.4,yes
14.84649116,0.720588235,0.666666667,yes
25.89218714,0.67032967,0.5,no
20.90439733,0.725274725,0.5,yes
20.40355814,0.615384615,0.45,no
19.21606161,0.461538462,0.55,no
19.17386838,0.604395604,0.35,no
19.14013745,0.494505495,0.4,no
18.90047458,0.56043956,0.3,yes
17.75061835,0.681318681,0.5,no
17.3688271,0.769230769,0.55,no
16.41457645,0.571428571,0.4,no
16.36128174,0.615384615,0.35,yes
16.06980342,0.571428571,0.45,no
15.37955551,0.549450549,0.4,no
15.02815756,0.483516484,0.3,no
14.85170052,0.714285714,0.55,no
14.78355702,0.769230769,0.5,no
14.06350067,0.549450549,0.45,no
13.78602715,0.527472527,0.35,no
13.35895033,0.703296703,0.55,no
13.35243873,0.505494505,0.35,no
13.28507129,0.604395604,0.4,no
13.25597048,0.681318681,0.35,no
13.19032696,0.516483516,0.3,no
12.43382582,0.56043956,0.4,no
12.32701581,0.681318681,0.35,no
12.30671532,0.582417582,0.35,no
12.18730098,0.593406593,0.3,no
12.18232904,0.703296703,0.55,no
11.95571795,0.593406593,0.4,no
11.9322534,0.714285714,0.55,no
18.28298011,0.5,0.454545455,no
18.17058364,0.761904762,0.545454545,no
17.96510429,0.69047619,0.363636364,no
